fylkenr;trpid;trpnavn;vegkategori;vegref;døgn;lengdeklasse;periode;indeks;dekning;trafikkmengde indeksår;trafikkmengde basisår
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;5,6m - 7,6m;November;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;5,6m - 7,6m;Desember;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;5,6m - 7,6m;Januar;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;5,6m - 7,6m;Februar;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;5,6m - 7,6m;Mars;-;0,000;-;-
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;5,6m - 7,6m;April;-;0,000;-;-
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;5,6m - 7,6m;Siste 12 måneder;0,000;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;5,6m - 7,6m;Hittil i år;0,000;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;7,6m - 12,5m;Mai;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;7,6m - 12,5m;Juni;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;7,6m - 12,5m;Juli;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;7,6m - 12,5m;August;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;7,6m - 12,5m;September;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;7,6m - 12,5m;Oktober;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;7,6m - 12,5m;November;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;7,6m - 12,5m;Desember;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;7,6m - 12,5m;Januar;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;7,6m - 12,5m;Februar;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;7,6m - 12,5m;Mars;-;0,000;-;-
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;7,6m - 12,5m;April;-;0,000;-;-
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;7,6m - 12,5m;Siste 12 måneder;0,000;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;7,6m - 12,5m;Hittil i år;0,000;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;12,5m - 16,0m;Mai;-;0,000;0;0
30;77103V181318;HERSTRØM;F;FV283 S2D1 m2352;Alle;12,5m - 16,0m;Juni;-;0,000;0;0
